title,author,publisher,rating,language,image_link
Full Circle (Rollin On Series Early Years Book 3),Emilia Finn,,5.0 out of 5 stars,English,https://m.media-amazon.com/images/I/91nAm6HWqvL._AC_UY218_.jpg
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Mo Xiang Tong Xiu,Seven Seas,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/815UPNBGqbL._AC_UY218_.jpg
Rohan at the Louvre (Louvre Collection),Hirohiko Araki,NBM ComicsLit,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51BiVRC31HL._AC_UY218_.jpg
Wotakoi: Love is Hard for Otaku 2,Fujita,Kodansha Comics,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/81LV68Gza1L._AC_UY218_.jpg
"Maid-sama! (2-in-1 Edition), Vol. 1: Includes Vols. 1 & 2 (1)",Hiro Fujiwara,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51rrr1pQMhL._AC_UY218_.jpg
"Fruits Basket Collector's Edition, Vol. 3 (Fruits Basket Collector's Edition, 3)",Natsuki Takaya,Yen Press,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/41kKQvevTVL._AC_UY218_.jpg
I Hear the Sunspot: Limit Volume 1 (I Hear the Sunspot Series),Yuki Fumino,One Peace Books,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/811eSgykcYL._AC_UY218_.jpg
"Maid-sama! (2-in-1 Edition), Vol. 2: Includes Vols. 3 & 4 (2)",Hiro Fujiwara,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/91dgs2r308L._AC_UY218_.jpg
I Hear the Sunspot: Limit Volume 2 (I Hear the Sunspot Series),Yuki Fumino,One Peace Books,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/81+G4otqdQL._AC_UY218_.jpg
I Hear the Sunspot: Theory of Happiness (I Hear the Sunspot Series),Yuki Fumino,One Peace Books,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/71YhVCZ8UqL._AC_UY218_.jpg
"Yona of the Dawn, Vol. 2 (2)",Mizuho Kusanagi,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51WuxZuDIwL._AC_UY218_.jpg
"Kamisama Kiss, Vol. 2 (2)",Julietta Suzuki,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/71KXFXoBxHL._AC_UY218_.jpg
"Fruits Basket Collector's Edition, Vol. 9 (Fruits Basket Collector's Edition, 9)",Natsuki Takaya,Yen Press,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/81IrqNEVyLL._AC_UY218_.jpg
"Maid-sama! (2-in-1 Edition), Vol. 4: Includes Vols. 7 & 8 (4)",Hiro Fujiwara,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51RuEdRnD0L._AC_UY218_.jpg
"Maid-sama! (2-in-1 Edition), Vol. 5: Includes Vols. 9 & 10 (5)",Hiro Fujiwara,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51kr2b3d3xL._AC_UY218_.jpg
"Maid-sama! (2-in-1 Edition), Vol. 3: Includes Vols. 5 & 6 (3)",Hiro Fujiwara,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51J6W8savLL._AC_UY218_.jpg
Chanakya in You,Radhakrishnan Pillai,Jaico Publishing House,4.4 out of 5 stars,English,https://m.media-amazon.com/images/I/81JI58NqKqS._AC_UY218_.jpg
